{key='US,AY,001,490.274b0049b246f1af4635709583decb13', nation='US', taxCode='AY', percentOrFlatTag=Flat Tax, seqNo=490, taxCarrier='3M', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='SA,E3,001,109784.8bbdc3283fdcb41955ee6a2d023f30fe', nation='SA', taxCode='E3', percentOrFlatTag=Flat Tax, seqNo=109784, taxCarrier='J2', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,IZ,001,30912.70415c6a4fe674c64395dbc254aaf54d', nation='FR', taxCode='IZ', percentOrFlatTag=Flat Tax, seqNo=30912, taxCarrier='SK', taxAmount=1.13, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,MX,103,87512.a60600c27a27179407090a543244b50c', nation='MX', taxCode='MX', percentOrFlatTag=Percent Tax, seqNo=87512, taxCarrier='AM', taxAmount=null, taxAmountCurrency='null', taxPercent=16.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='FR,IZ,001,30912.82594a36803254ac6a6a3232d6dc2f57', nation='FR', taxCode='IZ', percentOrFlatTag=Flat Tax, seqNo=30912, taxCarrier='SK', taxAmount=1.13, taxAmountCurrency='EUR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CO,JS,002,127500.8009a3e2cc4f2bc2fc5b7369ff2d835d', nation='CO', taxCode='JS', percentOrFlatTag=Flat Tax, seqNo=127500, taxCarrier='AM', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='US,YC,001,102343.d00a8c6711e677af27c769fc47c5b7af', nation='US', taxCode='YC', percentOrFlatTag=Flat Tax, seqNo=102343, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PT,AP,004,93756.a577c2aa1a072f742fac5e9b33cc8721', nation='PT', taxCode='AP', percentOrFlatTag=Flat Tax, seqNo=93756, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CA,US,014,103750.f0fc1bc0151c723d36e9de9563bf2fe2', nation='CA', taxCode='US', percentOrFlatTag=Flat Tax, seqNo=103750, taxCarrier='AC', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BR,BR,003,859843.a794fb6316785bb2c27d2e470be0ba32', nation='BR', taxCode='BR', percentOrFlatTag=Flat Tax, seqNo=859843, taxCarrier='YY', taxAmount=43.50, taxAmountCurrency='BRL', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CR,N8,114,100000.08b9784ba1dab9b8aafee0d6b8e20810', nation='CR', taxCode='N8', percentOrFlatTag=Percent Tax, seqNo=100000, taxCarrier='CM', taxAmount=null, taxAmountCurrency='null', taxPercent=0.4000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BR,BR,003,859843.3785ccff7a22d44fd71f93a4211a9c19', nation='BR', taxCode='BR', percentOrFlatTag=Flat Tax, seqNo=859843, taxCarrier='YY', taxAmount=43.50, taxAmountCurrency='BRL', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='KZ,UJ,001,72257.e926207278015ff7fbc337285c39a120', nation='KZ', taxCode='UJ', percentOrFlatTag=Flat Tax, seqNo=72257, taxCarrier='YY', taxAmount=2957.00, taxAmountCurrency='KZT', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MT,AC,001,9687.9aac74d820f76be65d96066ee4191bbc', nation='MT', taxCode='AC', percentOrFlatTag=Percent Tax, seqNo=9687, taxCarrier='ET', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,1425000.84a64583bbe5d3f252b939134a26dc26', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=1425000, taxCarrier='YY', taxAmount=2.50, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='HK,HK,001,2781.bafa71929ba82505c220ccc0ab6ca295', nation='HK', taxCode='HK', percentOrFlatTag=Flat Tax, seqNo=2781, taxCarrier='AA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='RU,RI,004,7025.b594df261c8005034e391a08cc10e911', nation='RU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=7025, taxCarrier='S7', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='CY,CY,001,4000.b0d0a21ada7b16f7b113cf0012c01fcc', nation='CY', taxCode='CY', percentOrFlatTag=Flat Tax, seqNo=4000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
