{key='XU,RI,001,8294.9b39e2c2ccc5c97086ae5331224df4f5', nation='XU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=8294, taxCarrier='DP', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='KG,Q3,001,105000.abe91532f3ab8ad796b05bd7d93db79d', nation='KG', taxCode='Q3', percentOrFlatTag=Flat Tax, seqNo=105000, taxCarrier='YY', taxAmount=4.59, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='RU,RI,004,701250.2cc88cc1bd49ba03cc0b9901149278cb', nation='RU', taxCode='RI', percentOrFlatTag=Flat Tax, seqNo=701250, taxCarrier='YY', taxAmount=216, taxAmountCurrency='RUB', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='HU,HU,001,3775.5208d4b9542db9dde411b31c80e4731a', nation='HU', taxCode='HU', percentOrFlatTag=Flat Tax, seqNo=3775, taxCarrier='LA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='BM,BL,001,8750.964f0871e0d8332e76023cb266937184', nation='BM', taxCode='BL', percentOrFlatTag=Flat Tax, seqNo=8750, taxCarrier='UA', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='SK,XJ,004,100000.63ab7f0b96c6565d1dd7bf83aba270e8', nation='SK', taxCode='XJ', percentOrFlatTag=Percent Tax, seqNo=100000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=20.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PK,PK,006,160000.d1b9fb681189962958e9a03a23ddf0a9', nation='PK', taxCode='PK', percentOrFlatTag=Flat Tax, seqNo=160000, taxCarrier='YY', taxAmount=1500, taxAmountCurrency='PKR', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='IE,UP,001,2578.9a8fe6490522453042a7724ccab7ad6c', nation='IE', taxCode='UP', percentOrFlatTag=Flat Tax, seqNo=2578, taxCarrier='HR', taxAmount=null, taxAmountCurrency='null', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MV,H9,101,100000.5284202b4a0c48a19d1cb7416df0e7dd', nation='MV', taxCode='H9', percentOrFlatTag=Flat Tax, seqNo=100000, taxCarrier='EY', taxAmount=70.00, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='AU,QR,002,394375.e99f10751a2e88a89ed221a7a10326f8', nation='AU', taxCode='QR', percentOrFlatTag=Flat Tax, seqNo=394375, taxCarrier='YY', taxAmount=5.64, taxAmountCurrency='AUD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='PA,F3,001,106250.ba1deb645e602cfe901eafdd1db6dec6', nation='PA', taxCode='F3', percentOrFlatTag=Flat Tax, seqNo=106250, taxCarrier='YY', taxAmount=6.00, taxAmountCurrency='USD', taxPercent=0.0000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
{key='MX,US,013,180000.f673e8ae32bbd1b05540b922b66bf984', nation='MX', taxCode='US', percentOrFlatTag=Percent Tax, seqNo=180000, taxCarrier='YY', taxAmount=null, taxAmountCurrency='null', taxPercent=7.5000, minTaxWhenPercent=0, maxTaxWhenPercent=0}
